,Film,Year,Award,Nomination
186,The Shore,2011,1,1
187,Undefeated,2011,1,1
188,The Muppets,2011,1,1
189,Saving Face,2011,1,1
190,Beginners,2011,1,1
191,Rango,2011,1,1
192,The King's Speech,2010,4,12
193,Inception,2010,4,8
194,The Social Network,2010,3,8
195,The Fighter,2010,2,7
196,Toy Story 3,2010,2,5
197,Alice in Wonderland,2010,2,3
198,Black Swan,2010,1,5
199,In a Better World,2010,1,1
200,The Lost Thing,2010,1,1
201,God of Love,2010,1,1
202,The Wolfman,2010,1,1
203,Strangers No More,2010,1,1
204,Inside Job,2010,1,1
205,The Hurt Locker,2009,6,9
206,Avatar,2009,3,9
207,Precious,2009,2,6
208,Up,2009,2,5
209,Crazy Heart,2009,2,3
210,Inglourious Basterds,2009,1,8
211,Star Trek,2009,1,4
212,The Young Victoria,2009,1,3
213,The Blind Side,2009,1,2
214,Music by Prudence,2009,1,1
215,The Secret in Their Eyes,2009,1,1
216,The Cove,2009,1,1
217,The New Tenants,2009,1,1
218,Logorama,2009,1,1
219,Slumdog Millionaire,2008,8,10
220,The Curious Case of Benjamin Button,2008,3,13
221,Milk,2008,2,8
222,The Dark Knight,2008,2,8
223,WALL-E,2008,1,6
224,The Reader,2008,1,5
225,The Duchess,2008,1,2
226,Departures,2008,1,1
227,Vicky Cristina Barcelona,2008,1,1
228,Smile Pinki,2008,1,1
229,Man on Wire,2008,1,1
230,Toyland,2008,1,1
231,La Maison en Petits Cubes,2008,1,1
232,No Country for Old Men,2007,4,8
233,The Bourne Ultimatum,2007,3,3
234,There Will Be Blood,2007,2,8
235,La Vie en rose,2007,2,3
236,Atonement,2007,1,7
237,Michael Clayton,2007,1,7
238,Ratatouille,2007,1,5
239,Juno,2007,1,4
240,Sweeney Todd: The Demon Barber of Fleet Street,2007,1,3
241,The Golden Compass,2007,1,2
242,Elizabeth: The Golden Age,2007,1,2
243,Taxi to the Dark Side,2007,1,1
244,Peter &amp; the Wolf,2007,1,1
245,Once,2007,1,1
246,Le Mozart des pickpockets,2007,1,1
247,The Counterfeiters,2007,1,1
248,Freeheld,2007,1,1
249,The Departed,2006,4,5
250,Pan's Labyrinth,2006,3,6
251,Dreamgirls,2006,2,8
252,Little Miss Sunshine,2006,2,4
253,An Inconvenient Truth,2006,2,2
254,Babel,2006,1,7
255,The Queen,2006,1,6
256,Letters from Iwo Jima,2006,1,4
257,Pirates of the Caribbean: Dead Man's Chest,2006,1,4
258,The Danish Poet,2006,1,1
259,Happy Feet,2006,1,1
260,The Last King of Scotland,2006,1,1
261,The Lives of Others,2006,1,1
262,Marie Antoinette,2006,1,1
263,West Bank Story,2006,1,1
264,The Blood of Yingzhou District,2006,1,1
265,Crash,2005,3,6
266,Brokeback Mountain,2005,3,8
267,Memoirs of a Geisha,2005,3,6
268,King Kong,2005,3,4
269,Capote,2005,1,5
270,Walk the Line,2005,1,5
271,The Constant Gardener,2005,1,4
272,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,1,3
273,Hustle &amp; Flow,2005,1,2
274,Syriana,2005,1,2
275,March of the Penguins,2005,1,1
276,Six Shooter,2005,1,1
277,The Moon and the Son: An Imagined Conversation,2005,1,1
278,A Note of Triumph: The Golden Age of Norman Corwin,2005,1,1
279,Tsotsi,2005,1,1
280,Wallace &amp; Gromit: The Curse of the Were-Rabbit,2005,1,1
281,Million Dollar Baby,2004,4,7
282,The Aviator,2004,5,11
283,Ray,2004,2,6
284,The Incredibles,2004,2,4
285,Finding Neverland,2004,1,7
286,Sideways,2004,1,5
287,Lemony Snicket's A Series of Unfortunate Events,2004,1,4
288,Spider-Man 2,2004,1,3
289,Eternal Sunshine of the Spotless Mind,2004,1,2
290,The Motorcycle Diaries,2004,1,2
291,The Sea Inside,2004,1,2
292,Born into Brothels,2004,1,1
293,Mighty Times: The Children's March,2004,1,1
294,Wasp,2004,1,1
295,Ryan,2004,1,1
296,The Lord of the Rings: The Return of the King,2003,11,11
297,Master and Commander: The Far Side of the World,2003,2,10
298,Mystic River,2003,2,6
299,Cold Mountain,2003,1,7
300,Lost in Translation,2003,1,4
301,Finding Nemo,2003,1,4
302,The Barbarian Invasions,2003,1,2
303,Two Soldiers,2003,1,1
304,Monster,2003,1,1
305,Harvie Krumpet,2003,1,1
306,Chernobyl Heart,2003,1,1
307,The Fog of War,2003,1,1
308,Chicago,2002,6,13
309,The Pianist,2002,3,7
310,The Lord of the Rings: The Two Towers,2002,2,6
311,Frida,2002,2,6
312,The Hours,2002,1,9
313,Road to Perdition,2002,1,6
314,Adaptation,2002,1,4
315,Talk to Her,2002,1,2
316,This Charming Man,2002,1,1
317,Spirited Away,2002,1,1
318,Nowhere in Africa,2002,1,1
319,The ChubbChubbs!,2002,1,1
320,Twin Towers,2002,1,1
321,Bowling for Columbine,2002,1,1
322,8 Mile,2002,1,1
323,A Beautiful Mind,2001,4,8
324,The Lord of the Rings: The Fellowship of the Ring,2001,4,13
325,Moulin Rouge!,2001,2,8
326,Black Hawk Down,2001,2,4
327,Gosford Park,2001,1,7
328,"Monsters, Inc.",2001,1,4
