,Film,Year,Award,Nomination
785,War and Peace,1968,1,2
786,Charly,1968,1,1
787,Journey into Self,1968,1,1
788,Robert Kennedy Remembered,1968,1,1
789,Why Man Creates,1968,1,1
790,Winnie the Pooh and the Blustery Day,1968,1,1
791,Planet of the Apes,1968,0 (1),2
792,In the Heat of the Night,1967,5,7
793,Camelot,1967,3,5
794,Bonnie and Clyde,1967,2,10
795,Guess Who's Coming to Dinner,1967,2,10
796,Doctor Dolittle,1967,2,9
797,The Graduate,1967,1,7
798,Thoroughly Modern Millie,1967,1,7
799,Cool Hand Luke,1967,1,4
800,The Dirty Dozen,1967,1,4
801,A Place to Stand,1967,1,2
802,The Anderson Platoon,1967,1,1
803,The Box,1967,1,1
804,Closely Watched Trains,1967,1,1
805,The Redwoods,1967,1,1
806,A Man for All Seasons,1966,6,8
807,Who's Afraid of Virginia Woolf?,1966,5,13
808,Grand Prix,1966,3,3
809,Fantastic Voyage,1966,2,5
810,A Man and a Woman,1966,2,4
811,Born Free,1966,2,2
812,The Fortune Cookie,1966,1,4
813,A Funny Thing Happened on the Way to the Forum,1966,1,1
814,A Herb Alpert and the Tijuana Brass Double Feature,1966,1,1
815,The War Game,1966,1,1
816,Wild Wings,1966,1,1
817,A Year Toward Tomorrow,1966,1,1
818,The Sound of Music,1965,5,10
819,Doctor Zhivago,1965,5,10
820,Darling,1965,3,5
821,Ship of Fools,1965,2,8
822,Cat Ballou,1965,1,5
823,The Great Race,1965,1,5
824,A Patch of Blue,1965,1,5
825,A Thousand Clowns,1965,1,4
826,The Shop on Main Street,1965,1,2
827,The Sandpiper,1965,1,1
828,The Eleanor Roosevelt Story,1965,1,1
829,To Be Alive!,1965,1,1
830,7 Faces of Dr. Lao,1964,0 (1),1
831,7th Heaven,28,3,5
832,"20,000 Leagues Under the Sea",1954,2,3
833,Adventures of Don Juan,1949,1,2
834,The Adventures of Robin Hood,1938,3,4
835,The African Queen,1951,1,4
836,Air Force,1943,1,4
837,The Alamo,1960,1,7
838,The Alaskan Eskimo,1953,1,1
839,Albert Schweitzer,1957,1,1
840,Alexander's Ragtime Band,1938,1,6
841,All About Eve,1950,6,14
842,All Quiet on the Western Front,30,2,4
843,All That Money Can Buy,1941,1,2
844,All the King's Men,1949,3,7
845,Ama Girls,1958,1,1
846,America America,1963,1,4
847,An American in Paris,1951,6,8
848,Amphibious Fighters,1943,1,1
849,Anastasia,1956,1,2
850,Anchors Aweigh,1945,1,5
851,Anna and the King of Siam,1946,2,5
852,Annie Get Your Gun,1950,1,4
853,Anthony Adverse,1936,4,7
854,The Apartment,1960,5,10
855,Aquatic House Party,1949,1,1
856,"Arise, My Love",1940,1,4
857,Around the World in 80 Days,1956,5,8
858,The Awful Truth,1937,1,6
859,The Bachelor and the Bobby-Soxer,1947,1,1
860,The Bad and the Beautiful,1952,5,6
861,Bad Girl,32,2,3
862,The Barefoot Contessa,1954,1,2
863,The Battle of Midway,1942,1,1
864,Battleground,1949,2,6
865,Bear Country,1953,1,1
866,Becket,1964,1,12
867,The Bells of St. Mary's,1945,1,8
868,Ben-Hur,1959,11,12
869,Benjy,1951,1,1
870,The Bespoke Overcoat,1956,1,1
871,The Best Years of Our Lives,1946,7 (1),8
872,Beyond the Line of Duty,1942,1,1
873,Bicycle Thieves,1949,0 (1),1
874,The Big Broadcast of 1938,1938,1,1
875,The Big Country,1958,1,2
876,The Big House,30,2,4
877,Bill and Coo,1948,0 (1),0
878,Birds Anonymous,1957,1,1
879,The Bishop's Wife,1947,1,5
880,Black Fox: The Rise and Fall of Adolf Hitler,1962,1,1
881,Black Narcissus,1947,2,2
882,Black Orpheus,1959,1,1
883,The Black Swan,1942,1,3
884,Blithe Spirit,1946,1,1
885,Blood and Sand,1941,1,2
886,Blood on the Sun,1945,1,1
887,Blossoms in the Dust,1941,1,4
888,Body and Soul,1947,1,3
889,Bored of Education,1936,1,1
890,Born Yesterday,1950,1,5
891,A Boy and His Dog,1946,1,1
892,Boys Town,1938,2,5
893,The Brave One,1956,1,3
894,Breakfast at Tiffany's,1961,2,5
895,Breaking the Sound Barrier,1952,1,2
896,The Bridge of San Luis Rey,29,1,1
897,The Bridge on the River Kwai,1957,7,8
898,The Bridges at Toko-Ri,1955,1,2
899,Broadway Melody of 1936,1935,1,3
900,The Broadway Melody,29,1,3
901,Broken Lance,1954,1,2
902,Busy Little Bears,1939,1,1
903,BUtterfield 8,1960,1,2
904,Calamity Jane,1953,1,3
905,Call Me Madam,1953,1,2
906,"Captain Carey, U.S.A.",1950,1,1
907,Captains Courageous,1937,1,4
908,Casablanca,1943,3,8
909,Casals Conducts: 1964,1964,1,1
910,The Cat Concerto,1946,1,1
911,Cavalcade,33,3,4
912,Chagall,1963,1,1
913,The Champ,32,2,4
914,Champion,1949,1,6
915,A Chance to Live,1949,1,1
916,The Charge of the Light Brigade,1936,1,3
917,The Chicken,1965,1,1
918,Churchill's Island,1941,1,1
919,Cimarron,31,3,7
920,The Circus,28,0 (1),0
921,Citizen Kane,1941,1,9
922,City of Wax,1934,1,1
923,Cleopatra,1934,1,5
924,Cleopatra,1963,4,9
925,Climbing the Matterhorn,1947,1,1
926,Come and Get It,1936,1,2
927,"Come Back, Little Sheba",1952,1,3
928,Coquette,29,1,1
929,The Country Cousin,1936,1,1
930,The Country Girl,1954,2,7
931,Cover Girl,1944,1,5
932,The Cowboy and the Lady,1938,1,3
933,Crash Dive,1943,1,1
934,Crashing the Water Barrier,1956,1,1
935,The Critic,1963,1,1
936,La Cucaracha,1934,1,1
937,Cyrano de Bergerac,1950,1,1
938,A Damsel in Distress,1937,1,2
939,Dangerous,1935,1,1
940,The Dark Angel,1935,1,3
941,The Dawn Patrol,31,1,1
942,Day of the Painter,1960,1,1
943,Daybreak in Udi,1949,1,1
944,Days of Wine and Roses,1962,1,5
945,December 7th,1943,1,1
946,Declaration of Independence,1938,1,1
947,The Defiant Ones,1958,2,9
948,Der Fuehrer's Face,1942,1,1
949,Desert Victory,1943,1,1
950,Design for Death,1947,1,1
951,Designing Woman,1957,1,1
952,Destination Moon,1950,1,2
953,The Diary of Anne Frank,1959,3,8
954,Disraeli,30,1,3
955,The Divine Lady,29,1,3
956,Divorce Italian Style,1962,1,3
957,The Divorcee,30,1,4
958,Dodsworth,1936,1,7
959,The Dot and the Line,1965,1,1
960,A Double Life,1947,2,4
961,The Dove,28,1,1
962,Dr. Jekyll and Mr. Hyde,32,1,3
963,Dumbo,1941,1,2
964,Dylan Thomas,1962,1,1
965,East of Eden,1955,1,4
966,Easter Parade,1948,1,1
967,Elmer Gantry,1960,3,5
968,The Enemy Below,1957,1,1
969,Eskimo,1934,1,1
970,Exodus,1960,1,3
971,The Face of Lincoln,1955,1,2
972,Facing Your Danger,1946,1,1
973,The Facts of Life,1960,1,5
974,Fantasia,1940,0 (2),0
975,A Farewell to Arms,33,2,4
976,The Farmer's Daughter,1947,1,2
977,Father Goose,1964,1,3
978,Federico Fellini's 8½,1963,2,5
979,Ferdinand the Bull,1938,1,1
980,The Fighting Lady,1944,1,1
981,First Steps,1947,1,1
982,Flowers and Trees,32,1,1
983,Folies Bergere,1935,1,1
984,For Scent-imental Reasons,1949,1,1
985,For Whom the Bell Tolls,1943,1,9
986,Forbidden Games,1952,0 (1),1
987,,1961,0 (1),0
988,A Free Soul,31,1,3
989,Frenchman's Creek,1945,1,1
990,From Here to Eternity,1953,8,13
991,The Garden of Allah,1936,0 (1),2
992,Gaslight,1944,2,7
993,Gate of Hell,1954,1 (1),1
994,The Gay Divorcee,1934,1,5
995,Gentleman's Agreement,1947,3,8
996,Gerald McBoing-Boing,1950,1,1
997,Giant,1956,1,10
998,Gigi,1958,9,9
999,Giuseppina,1960,1,1
1000,Give Me Liberty,1936,1,1
1001,Glass,1959,1,1
1002,The Glenn Miller Story,1954,1,3
1003,Going My Way,1944,7,10
1004,Gold Diggers of 1935,1935,1,2
1005,The Golden Fish,1959,1,1
1006,Goldfinger,1964,1,1
1007,Gone with the Wind,1939,8 (2),13
1008,The Good Earth,1937,2,5
1009,"Goodbye, Miss Turlock",1947,1,1
1010,"Goodbye, Mr. Chips",1939,1,7
1011,Grand Canyon,1958,1,1
1012,Grand Hotel,32,1,1
1013,Grandad of Races,1950,1,1
1014,The Grapes of Wrath,1940,2,7
1015,The Great Caruso,1951,1,3
1016,Great Expectations,1947,2,5
1017,The Great Lie,1941,1,1
1018,The Great McGinty,1940,1,1
1019,The Great Waltz,1938,1,3
1020,The Great Ziegfeld,1936,3,7
1021,The Greatest Show on Earth,1952,2,5
1022,Green Dolphin Street,1947,1,4
1023,The Guns of Navarone,1961,1,7
1024,Hamlet,1948,4,7
1025,Happy Anniversary,1962,1,1
1026,Harvey,1950,1,2
1027,The Harvey Girls,1946,1,2
1028,Heavenly Music,1943,1,1
1029,The Heiress,1949,4,8
1030,Helen Keller in Her Story,1955,1,1
1031,"Hello, Frisco, Hello",1943,1,2
1032,Henry V,1946,0 (1),4
1033,Here Comes Mr. Jordan,1941,2,7
1034,Here Comes the Groom,1951,1,2
1035,The High and the Mighty,1954,1,6
1036,High Noon,1952,4,7
1037,Hitler Lives,1945,1,1
1038,A Hole in the Head,1959,1,1
1039,The Hole,1962,1,1
1040,Holiday Inn,1942,1,3
1041,The Horse with the Flying Tail,1960,1,1
1042,The House I Live In,1945,0 (1),0
1043,The House on 92nd Street,1945,1,1
1044,How Green Was My Valley,1941,5,10
1045,How the West Was Won,1963,3,8
1046,How to Sleep,1935,1,1
1047,Hud,1963,3,7
1048,The Human Comedy,1943,1,5
1049,The Hurricane,1937,1,3
1050,The Hustler,1961,2,9
1051,I Want to Live!,1958,1,6
1052,I Wanted Wings,1941,1,1
1053,I Won't Play,1944,1,1
1054,I'll Cry Tomorrow,1955,1,4
1055,In Beaver Valley,1950,1,1
1056,In Old Arizona,29,1,5
1057,In Old Chicago,1937,2,6
1058,In Which We Serve,1942,0 (1),2
1059,The Informer,1935,4,6
1060,Interrupted Melody,1955,1,3
1061,The Invaders,1942,1,3
1062,Irma la Douce,1963,1,3
1063,It Happened One Night,1934,5,5
1064,"It's a Mad, Mad, Mad, Mad World",1963,1,6
1065,The Jazz Singer,28,0 (1),1
1066,Jezebel,1938,2,5
1067,Joan of Arc,1948,2 (1),7
1068,Johann Mouse,1952,1,1
1069,Johnny Belinda,1948,1,12
1070,Johnny Eager,1942,1,1
1071,The Joker Is Wild,1957,1,1
1072,The Jolson Story,1946,2,6
1073,Judgment at Nuremberg,1961,2,11
1074,Julius Caesar,1953,1,5
1075,Kentucky,1938,1,1
1076,Key Largo,1948,1,1
1077,The King and I,1956,5,9
1078,King of Jazz,30,1,1
1079,King Solomon's Mines,1950,2,3
1080,Kitty Foyle,1940,1,5
1081,Knighty Knight Bugs,1958,1,1
1082,Kokoda Front Line!,1942,1,1
1083,Kon-Tiki,1950,1,1
1084,Krakatoa,33,1,1
1085,Kukan,1941,0 (1),0
1086,La Strada,1956,1,2
1087,La Dolce Vita,1961,1,4
1088,Lady Be Good,1941,1,1
1089,The Last Command,28,1,2
1090,Laura,1944,1,5
1091,The Lavender Hill Mob,1952,1,2
1092,Lawrence of Arabia,1962,7,10
1093,Leave Her to Heaven,1945,1,4
1094,Lend a Paw,1941,1,1
1095,Les Girls,1957,1,3
1096,A Letter to Three Wives,1949,2,3
1097,The Life of Emile Zola,1937,3,10
1098,Light in the Window,1952,1,1
1099,Lili,1953,1,6
1100,Lilies of the Field,1963,1,5
1101,The Little Kidnappers,1954,0 (2),0
1102,The Little Orphan,1948,1,1
1103,Little Women,33,1,3
1104,Little Women,1949,1,2
1105,The Lives of a Bengal Lancer,1935,1,7
1106,The Living Desert,1953,1,1
1107,The Longest Day,1962,2,5
1108,Lost Horizon,1937,2,7
1109,The Lost Weekend,1945,4,7
1110,Love Is a Many-Splendored Thing,1955,3,8
1111,Love Me or Leave Me,1955,1,6
1112,Lust for Life,1956,1,4
1113,Magoo's Puddle Jumper,1956,1,1
1114,Main Street on the March!,1941,1,1
1115,The Man Who Knew Too Much,1956,1,1
1116,Manhattan Melodrama,1934,1,1
1117,Marie-Louise,1945,1,1
1118,Marty,1955,4,8
1119,Mary Poppins,1964,5,13
1120,Men Against the Arctic,1955,1,1
1121,The Merry Widow,1934,1,1
1122,A Midsummer Night's Dream,1935,2,[7]
1123,Mighty Joe Young,1949,1,1
1124,Mildred Pierce,1945,1,6
1125,The Milky Way,1940,1,1
1126,Min and Bill,31,1,1
1127,Miracle on 34th Street,1947,3,4
1128,The Miracle Worker,1962,2,5
1129,Mister Roberts,1955,1,3
1130,Monsieur Vincent,1948,0 (1),0
1131,Moonbird,1959,1,1
1132,The More the Merrier,1943,1,6
1133,Morning Glory,33,1,1
1134,Moscow Strikes Back,1942,1,1
1135,Mother Wore Tights,1947,1,3
1136,Moulin Rouge,1952,2,7
1137,Mouse Trouble,1944,1,1
1138,Mr. Deeds Goes to Town,1936,1,5
1139,Mr. Smith Goes to Washington,1939,1,11
1140,Mrs. Miniver,1942,6,12
1141,Munro,1960,1,1
1142,The Music Box,32,1,1
1143,The Music Man,1962,1,6
1144,Mutiny on the Bounty,1935,1,8
1145,My Fair Lady,1964,8,12
1146,My Uncle,1958,1,1
1147,My Gal Sal,1942,1,2
1148,The Naked City,1948,2,3
1149,National Velvet,1945,2,5
1150,Nature's Half Acre,1951,1,1
1151,Naughty Marietta,1935,1,2
1152,Neighbours,1952,1,2
1153,Neptune's Daughter,1949,1,1
1154,Never on Sunday,1960,1,5
1155,The Night of the Iguana,1964,1,4
1156,Nights of Cabiria,1957,1,1
1157,Nine from Little Rock,1964,1,1
1158,None But the Lonely Heart,1944,1,4
1159,North West Mounted Police,1940,1,5
1160,"Now, Voyager",1942,1,3
1161,An Occurrence at Owl Creek Bridge,1963,1,1
1162,Of Pups and Puzzles,1941,1,1
1163,Oklahoma!,1955,2,4
1164,The Old Man and the Sea,1958,1,3
1165,The Old Mill,1937,1,1
1166,On the Town,1949,1,1
1167,On the Waterfront,1954,8,12
1168,One Hundred Men and a Girl,1937,1,5
1169,One Night of Love,1934,2,6
1170,One Way Passage,33,1,1
1171,Overture to The Merry Wives of Windsor,1953,1,1
1172,The Paleface,1948,1,1
1173,Panic in the Streets,1950,1,1
1174,Papa's Delicate Condition,1963,1,1
1175,The Patriot,29,1,5
1176,Penny Wisdom,1937,1,1
1177,Phantom of the Opera,1943,2,4
1178,The Philadelphia Story,1940,2,6
1179,Picnic,1955,2,6
1180,The Picture of Dorian Gray,1945,1,3
1181,Pillow Talk,1959,1,5
1182,The Pink Phink,1964,1,1
1183,Pinocchio,1940,2,2
1184,A Place in the Sun,1951,6,9
1185,Plymouth Adventure,1952,1,1
1186,Pollyanna,1960,0 (1),0
1187,Porgy and Bess,1959,1,4
1188,Portrait of Jennie,1948,1,2
1189,Prelude to War,1942,1,1
1190,Pride and Prejudice,1940,1,1
1191,The Pride of the Yankees,1942,1,11
1192,Princess O'Rourke,1943,1,1
1193,The Private Life of Henry VIII,33,1,2
1194,The Private Life of the Gannets,1937,1,1
1195,Project Hope,1961,1,1
1196,The Public Pays,1936,1,1
1197,Pygmalion,1938,1,4
1198,Quicker'n a Wink,1940,1,1
1199,The Quiet Man,1952,2,7
1200,Quiet Please!,1945,1,1
1201,The Rains Came,1939,1,[8]
1202,Rashomon,1951,0 (1),1
1203,The Razor's Edge,1946,1,4
1204,Reap the Wild Wind,1942,1,3
1205,Rebecca,1940,2,11
1206,The Red Balloon,1956,1,1
1207,The Red Shoes,1948,2,5
1208,The Robe,1953,2,5
1209,Robert Frost: A Lover's Quarrel with the World,1963,1,1
1210,Roman Holiday,1953,3,10
1211,Room at the Top,1959,2,6
1212,The Rose Tattoo,1955,3,8
1213,Sabrina,1954,1,6
1214,Samson and Delilah,1950,2,5
1215,Samurai I: Musashi Miyamoto,1955,0 (1),0
1216,San Francisco,1936,1,6
1217,Sayonara,1957,4,10
1218,The Scoundrel,1935,1,1
1219,The Sea Around Us,1952,1,1
1220,Seal Island,1948,1,1
1221,The Search,1948,1 (1),4
1222,Seawards the Great Ships,1961,1,1
1223,The Secret Land,1948,1,1
1224,Seeds of Destiny,1946,1,1
1225,Separate Tables,1958,2,7
1226,Serengeti Shall Not Die,1959,1,1
1227,Sergeant York,1941,2,11
1228,Seven Brides for Seven Brothers,1954,1,5
1229,Seven Days to Noon,1951,1,1
1230,The Seventh Veil,1946,1,1
1231,Shane,1953,1,6
1232,Shanghai Express,32,1,3
1233,She Wore a Yellow Ribbon,1949,1,1
1234,Shoeshine,1947,0 (1),1
1235,The Silent World,1956,1,1
1236,The Sin of Madelon Claudet,32,1,1
1237,Since You Went Away,1944,1,9
1238,Skippy,31,1,4
1239,Sky Above and Mud Beneath,1961,1,1
1240,The Snake Pit,1948,1,6
1241,Snow White and the Seven Dwarfs,1937,0 (1),1
1242,So Much for So Little,1949,1,1
1243,So This Is Harris!,33,1,1
1244,The Solid Gold Cadillac,1956,1,2
1245,Some Like It Hot,1959,1,6
1246,Somebody Up There Likes Me,1956,2,3
1247,The Song of Bernadette,1943,4,12
1248,Song of the South,1947,1 (1),2
1249,Song Without End,1960,1,1
1250,Sons and Lovers,1960,1,7
1251,Sons of Liberty,1939,1,1
1252,South Pacific,1958,1,3
1253,Spartacus,1960,4,6
1254,Spawn of the North,1938,0 (1),0
1255,Speaking of Animals and Their Families,1942,1,1
1256,Speedy Gonzales,1955,1,1
1257,Spellbound,1945,1,6
1258,Splendor in the Grass,1961,1,2
1259,Stagecoach,1939,2,7
1260,Stairway to Light,1945,1,1
1261,Stalag 17,1953,1,3
1262,Star in the Night,1945,1,1
1263,A Star Is Born,1937,1 (1),7
1264,State Fair,1945,1,2
1265,The Story of Louis Pasteur,1936,3,4
1266,The Stratton Story,1949,1,1
1267,Street Angel,28,1,3
1268,A Streetcar Named Desire,1951,4,12
1269,Strike Up the Band,1940,1,3
1270,The Substitute,1961,1,1
1271,Sundays and Cybele,1962,1,3
1272,Sunrise,28,3,[9]
1273,Sunset Boulevard,1950,3,11
1274,Survival City,1955,1,1
1275,Suspicion,1941,1,3
1276,Sweet Bird of Youth,1962,1,3
1277,Sweethearts,1938,0 (1),2
1278,Swing Time,1936,1,2
1279,Symphony of a City,1948,1,1
1280,Tabu,31,1,1
1281,Target for Tonight,1941,0 (1),0
1282,"Teddy, the Rough Rider",1940,1,1
1283,Tempest,28,1,1
1284,The Ten Commandments,1956,1,7
1285,That Hamilton Woman,1941,1,4
1286,That Mothers Might Live,1938,1,1
1287,The Thief of Bagdad,1940,3,4
1288,The Third Man,1950,1,3
1289,Thirty Seconds Over Tokyo,1944,1,2
1290,This Above All,1942,1,4
1291,This Is the Army,1943,1,3
1292,This Land Is Mine,1943,1,1
1293,This Mechanical Age,1954,1,1
1294,Three Coins in the Fountain,1954,2,3
1295,The Three Faces of Eve,1957,1,1
1296,Three Little Pigs,33,1,1
1297,Three Orphan Kittens,1935,1,1
1298,Through a Glass Darkly,1961,1,2
1299,Thunderball,1965,1,1
1300,Thursday's Children,1954,1,1
1301,The Time Machine,1960,1,1
1302,A Time Out of War,1954,1,1
1303,Tin Pan Alley,1940,1,1
1304,The Titan: Story of Michelangelo,1950,1,1
1305,Titanic,1953,1,2
1306,To Catch a Thief,1955,1,3
1307,To Each His Own,1946,1,2
1308,To Kill a Mockingbird,1962,3,8
1309,Tom Jones,1963,4,10
1310,tom thumb,1958,1,1
1311,"Toot, Whistle, Plunk and Boom",1953,1,1
1312,Topkapi,1964,1,1
1313,The Tortoise and the Hare,1934,1,1
1314,Torture Money,1937,1,1
1315,Toward Independence,1948,1,1
1316,Transatlantic,32,1,1
1317,The Treasure of the Sierra Madre,1948,3,4
1318,A Tree Grows in Brooklyn,1945,1,2
1319,The True Glory,1945,1,1
1320,The True Story of the Civil War,1956,1,1
1321,Tweetie Pie,1947,1,1
1322,Twelve O'Clock High,1949,2,4
1323,Two Arabian Knights,28,1,1
1324,The Two Mouseketeers,1951,1,1
1325,Two Women,1961,1,1
1326,The Ugly Duckling,1939,1,1
1327,Underworld,28,1,1
1328,The V.I.P.s,1963,1,1
1329,Vacation from Marriage,1946,1,1
1330,Van Gogh,1949,1,1
1331,The Vanishing Prairie,1954,1,1
1332,The Virgin Spring,1960,1,2
1333,Viva Villa!,1934,1,4
1334,Viva Zapata!,1952,1,5
1335,Waikiki Wedding,1937,1,2
1336,The Walls of Malapaga,1950,0 (1),0
1337,The War of the Worlds,1953,1,3
1338,Watch on the Rhine,1943,1,4
1339,Water Birds,1952,1,1
1340,The Way of All Flesh,28,1,1
1341,West Side Story,1961,10,11
1342,The Westerner,1940,1,3
1343,The Wetback Hound,1957,1,1
1344,What Ever Happened to Baby Jane?,1962,1,5
1345,When Tomorrow Comes,1939,1,1
1346,When Magoo Flew,1954,1,1
1347,When Worlds Collide,1951,1,2
1348,White Shadows in the South Seas,29,1,1
1349,White Wilderness,1958,1,2
1350,Who's Who in Animal Land,1944,1,1
1351,Why Korea?,1950,1,1
1352,Wilson,1944,5,10
1353,Wings,28,2,2
1354,Wings Over Everest,1935,1,1
1355,With a Song in My Heart,1952,1,5
1356,With Byrd at the South Pole,30,1,1
1357,With the Marines at Tarawa,1944,1,1
1358,The Wizard of Oz,1939,2,[10]
1359,Woman of the Year,1942,1,2
